race,lap,short_name,id,team,engine,grid_position,quali_time,lap_position,lap_time,gap_to_leader,position,points,fastest_s1,fastest_s2,fastest_s3,ideal_time,s1_speed,s2_speed,s3_speed,speed_trap,tyre,pit_time,tyre_num,used,tyre_age,pit_this_lap,next_pit,soft,medium,hard,total_laps,lap_pcts,tyre_age_pct,next_pit_pcts,distances,c1,c2,c3,c4,c5
Bahrain,54,LEC,833,Ferrari,Ferrari 066/7,1,90.558,1,95.429,0,1,26,30.439,40.732,23.399,94.57,235.9,265.4,279.8,302.6,Softused,0,1,1,8,0,0,1,0,0,57,0.947368421,0.140350877,0,5412,1,1,1,0,0
Bahrain,55,LEC,833,Ferrari,Ferrari 066/7,1,90.558,1,95.427,0,1,26,30.439,40.732,23.399,94.57,235.9,265.4,279.8,302.6,Softused,0,1,1,9,0,0,1,0,0,57,0.964912281,0.157894737,0,5412,1,1,1,0,0
Bahrain,56,LEC,833,Ferrari,Ferrari 066/7,1,90.558,1,95.673,0,1,26,30.439,40.732,23.399,94.57,235.9,265.4,279.8,302.6,Softused,0,1,1,10,0,0,1,0,0,57,0.98245614,0.175438596,0,5412,1,1,1,0,0
Bahrain,57,LEC,833,Ferrari,Ferrari 066/7,1,90.558,1,96.373,0,1,26,30.439,40.732,23.399,94.57,235.9,265.4,279.8,302.6,Softused,0,1,1,11,0,0,1,0,0,57,1,0.192982456,0,5412,1,1,1,0,0
Bahrain,2,SAI,825,Ferrari,Ferrari 066/7,3,90.687,3,98.649,2.732,2,18,30.754,41.222,23.654,95.63,238.2,265.8,287.9,313.8,Softused,0,1,1,2,0,14,1,0,0,57,0.035087719,0.035087719,0.245614035,5412,1,1,1,0,0
Bahrain,3,SAI,825,Ferrari,Ferrari 066/7,3,90.687,3,99.049,3.509,2,18,30.754,41.222,23.654,95.63,238.2,265.8,287.9,313.8,Softused,0,1,1,3,0,14,1,0,0,57,0.052631579,0.052631579,0.245614035,5412,1,1,1,0,0
Bahrain,4,SAI,825,Ferrari,Ferrari 066/7,3,90.687,3,98.923,4.018,2,18,30.754,41.222,23.654,95.63,238.2,265.8,287.9,313.8,Softused,0,1,1,4,0,14,1,0,0,57,0.070175439,0.070175439,0.245614035,5412,1,1,1,0,0
Bahrain,5,SAI,825,Ferrari,Ferrari 066/7,3,90.687,3,99.101,4.648,2,18,30.754,41.222,23.654,95.63,238.2,265.8,287.9,313.8,Softused,0,1,1,5,0,14,1,0,0,57,0.087719298,0.087719298,0.245614035,5412,1,1,1,0,0
Bahrain,6,SAI,825,Ferrari,Ferrari 066/7,3,90.687,3,99.594,5.53,2,18,30.754,41.222,23.654,95.63,238.2,265.8,287.9,313.8,Softused,0,1,1,6,0,14,1,0,0,57,0.105263158,0.105263158,0.245614035,5412,1,1,1,0,0
Bahrain,7,SAI,825,Ferrari,Ferrari 066/7,3,90.687,3,99.588,6.283,2,18,30.754,41.222,23.654,95.63,238.2,265.8,287.9,313.8,Softused,0,1,1,7,0,14,1,0,0,57,0.122807018,0.122807018,0.245614035,5412,1,1,1,0,0
